,Healthy,Degraded,MaintenanceRequired,FailedRecoverable,FailedPermanent
keep_running,-36.13010496172791,-33.94779081968825,-53.57936662888503,-59.545147156614384,-299.99999982023945
power_cap,-36.260242546238786,-33.828749266638475,-53.75134476656331,-59.645147156614385,-300.19999982023944
checkpoint,-36.33010496172791,-34.147790819688254,-53.779366628885036,-58.01878806847616,-300.39999982023943
reboot,-36.430104961727906,-34.24779081968825,-53.87936662888503,-55.00218265211275,-300.5999998202395
isolate_maintain,-36.53010496172791,-34.34779081968825,-49.373988770868294,-59.94514715661438,-300.79999982023946
