post_Healthy,post_Degraded,post_MaintenanceRequired,post_FailedRecoverable,post_FailedPermanent
0.9999999999999858,1.3769603279704507e-14,1.764539482683751e-17,2.8166777757961353e-21,6.185249087879269e-113
0.9998274088831196,0.00017255092013804146,4.019297581508029e-08,3.766581843770808e-12,6.640935310431896e-117
0.9537354200767078,0.04615968828114104,0.00010485170582486268,3.993632586445794e-08,1.6360871104399557e-89
0.9991527607066627,0.0008468575680525987,3.806356430723068e-07,1.089640683214786e-09,2.1784835193033188e-97
0.9999613098364344,3.8683232754561456e-05,6.902194220514398e-09,2.8615293126405192e-11,7.03021120559135e-107
0.997275085946156,0.002722717802123804,2.1960298769989625e-06,2.2184843352116135e-10,1.02512731414856e-109
0.9966700647824922,0.0033282102431506154,1.7249606077587096e-06,1.3743006646959274e-11,1.1088804946782904e-118
0.999941483102347,5.850684736357964e-05,1.0043387621698377e-08,6.908819308629517e-12,2.3545177752382312e-114
0.975734031368273,0.024231162009213103,3.480471184740424e-05,1.910667328691111e-09,6.789092227624097e-109
0.9998153878616984,0.00018456992054426447,4.21887058501797e-08,2.9046719191271728e-11,2.4922156657382117e-113
0.9997740315359804,0.000225915698113265,5.2762296756218536e-08,3.607386069945247e-12,3.0719736487873333e-124
0.9676197770123744,0.03232779973216778,5.242248057797514e-05,7.748785428629683e-10,5.325596353520714e-112
0.9998031649180058,0.00019679796683777186,3.7109981787825903e-08,5.1736064399580736e-12,3.185498083683457e-116
0.998618169443999,0.0013812127453733964,6.177797850435002e-07,3.083626277135666e-11,6.701182828476658e-104
7.49976647978058e-11,0.060576160560991583,0.9393685007142447,5.533864976881932e-05,5.240536058135354e-96
2.0219717165561436e-59,6.813903504984294e-27,5.917793603586439e-16,0.9999999999968168,3.1847306116787993e-12
0.9999914371109901,3.519808161416397e-14,8.560832872644559e-06,2.056096215408231e-09,5.46434321684297e-112
0.975118678589585,0.024842520908249205,3.8799639547872884e-05,8.626084395584618e-10,3.0517649916046766e-107
0.9995441609132683,0.00045569227253705895,1.4674364884214252e-07,7.05343119990925e-11,1.5370441437723048e-100
0.9996600985665917,0.0003397926248738883,1.0879385762153733e-07,1.4676690637265534e-11,1.8988775680870484e-106
0.0038088134297092472,0.962905897728976,0.033285236264312006,5.257700158054983e-08,9.55709676776568e-113
3.9184091300760827e-10,0.1760952248963499,0.8237165608319974,0.00018821387980126606,3.928155603625709e-94
0.9571141217473617,0.0424908268354011,0.0003950411439556833,1.027327852301012e-08,1.8150800208273625e-108
0.9972982091052756,0.0027007037639643215,1.0871043397539177e-06,2.640616885868845e-11,9.558441380070302e-112
