step,belief_entropy
0,-6.051105175568422e-13
1,0.00166838313567969
2,0.1881098818908172
3,0.006843180942316058
4,0.0004318454878676203
5,0.018830525668273788
6,0.022335782322544472
7,0.0006289295141437577
8,0.11446920268624322
9,0.0017721488136450355
10,0.002123468235086401
11,0.1433103732967608
12,0.0018767933339647607
13,0.010484709131679535
14,0.22914422689605146
15,8.563820526240872e-11
16,0.00010849445543042686
17,0.11676133847775687
18,0.003964002134596666
19,0.003055571579335987
20,0.17087280740271532
21,0.46718677521636687
22,0.17925465786290518
23,0.01868568453945926
24,0.0034661546424177604
25,0.001115721617946908
26,0.001190670913024148
27,0.005060383785626512
28,0.0008087942728920323
29,0.011931837157393863
30,0.008679621655730049
31,0.0027743157124640195
32,0.0002594263113833668
33,0.003932247477800861
34,0.16961901609925564
35,0.29665784108789744
36,0.0740563682576832
37,0.6274575825114787
38,0.1358035317788308
39,0.08640148410313413
40,0.058153782727349085
41,0.05524086682323772
42,0.5187255004758914
43,0.3315901647964232
44,0.09124545870730824
45,0.005607675289665243
46,0.04916571425962656
47,0.15478046074485124
48,0.0704353033613442
49,0.08360786541965766
50,0.46878858454774464
51,0.008196159780336278
52,0.00011217855955407584
53,0.0005216232149483423
54,1.2240893121299949e-05
55,0.0017424932625714983
56,0.001623002007850529
57,0.0019146006518158654
58,0.0011921624519436191
59,0.02509474424560874
60,0.0363913674930575
61,0.000455929808900995
62,0.0014903385942925055
63,0.0006739965762588906
64,0.00227252838505169
65,0.10038206413532792
66,0.001345551661526171
67,0.002021299754997152
68,0.012967614659032069
69,0.016681519862105892
70,0.00996692301244854
71,0.006280965284865335
72,0.0009820445606570731
73,0.03895376504577821
74,0.004119746472025229
75,0.020185067462743466
76,0.05738558492888778
77,0.005141796628761031
78,0.016824059799204337
79,0.013462183316112663
80,0.00616144811082333
81,0.016760614214703852
82,0.03384681289767923
83,0.016350033582744145
84,0.0027253204890540592
85,0.0031466387021436707
86,0.6868119681974518
87,0.10633543417732158
88,0.007887246890542819
89,0.024501940807315447
90,0.0029441768065036275
91,0.002437806685629877
92,0.7068347947701293
93,0.010928761765131445
94,0.005750439133840131
95,0.0006176171838379652
96,0.002237839191083577
97,0.07677902800891379
98,0.0025843384111313185
99,0.5852397339750759
100,0.23908761075330567
101,0.1929340365113896
102,0.28275347551360824
103,0.05862235430357396
104,0.0001836355238279157
105,1.2193443474067546e-05
106,0.012475906488728192
107,0.0024038424497448154
108,0.03218764774461684
109,0.0014312610494180155
110,0.0008026015094852201
111,0.0036732597845381566
112,0.08299082599251431
113,0.12306472112096543
114,0.09036906906223588
115,0.0020024817137009716
116,0.005577250221364413
117,0.2874888853224657
118,-9.831110015436533e-13
119,5.373854835389026e-05
120,3.456309834343813e-05
121,0.0008465230831101603
122,3.4430258228638182e-09
123,4.262636291342228e-11
124,-7.335235556283319e-13
125,-1.0000888992881598e-12
126,-9.706516231212019e-13
127,-1.0000881668092226e-12
128,-1.000065398866208e-12
129,-1.000073000472491e-12
130,-1.0000888898039472e-12
131,-9.982925923330267e-13
132,-2.9114430199394004e-13
133,-1.000054044546644e-12
134,-9.999095198873704e-13
135,-1.000072734411108e-12
136,-9.99955958244683e-13
137,-1.0000888996645353e-12
138,-1.0000684807679192e-12
139,-9.990317492357538e-13
140,-1.000088383533358e-12
141,-9.949228712279831e-13
142,1.0015613583067631e-11
