timestamp,time_hours,time_delta_hours,temperature,ecc_count,xid_code,utilization,power_usage,retired_pages,stress_score,gpu0_core_temp_avg,total_power_avg,value,state,state_idx
2022-08-03 08:00:00+00:00,21044.0,0.25,35.0,0,0,57.57575757575759,419.55555555555554,0.0,0.5727272727272728,35.0,419.55555555555554,0,MaintenanceRequired,2
2022-08-03 08:15:00+00:00,21044.25,0.25,35.0,0,0,51.51515151515175,418.6666666666667,0.0,0.5545454545454552,35.0,418.6666666666667,0,MaintenanceRequired,2
2022-08-03 08:30:00+00:00,21044.5,0.25,35.0,0,0,54.545454545454476,419.1111111111111,0.0,0.5636363636363634,35.0,419.1111111111111,0,MaintenanceRequired,2
2022-08-03 08:45:00+00:00,21044.75,0.25,35.0,0,0,51.51515151515175,418.6666666666667,0.0,0.5545454545454552,35.0,418.6666666666667,0,MaintenanceRequired,2
2022-08-03 09:00:00+00:00,21045.0,0.25,35.0,0,0,42.424242424242415,417.3333333333333,0.0,0.5272727272727272,35.0,417.3333333333333,0,MaintenanceRequired,2
2022-08-03 09:15:00+00:00,21045.25,0.25,35.0,0,0,54.545454545454476,419.1111111111111,0.0,0.5636363636363634,35.0,419.1111111111111,0,MaintenanceRequired,2
2022-08-03 09:30:00+00:00,21045.5,0.25,35.0,0,0,57.57575757575759,419.55555555555554,0.0,0.5727272727272728,35.0,419.55555555555554,0,MaintenanceRequired,2
2022-08-03 09:45:00+00:00,21045.75,0.25,35.0,0,0,54.545454545454476,419.1111111111111,0.0,0.5636363636363634,35.0,419.1111111111111,0,MaintenanceRequired,2
2022-08-03 10:00:00+00:00,21046.0,0.25,35.0,0,0,51.51515151515175,418.6666666666667,0.0,0.5545454545454552,35.0,418.6666666666667,0,MaintenanceRequired,2
2022-08-03 10:15:00+00:00,21046.25,0.25,35.0,0,0,48.484848484848634,418.22222222222223,0.0,0.5454545454545459,35.0,418.22222222222223,0,MaintenanceRequired,2
2022-08-03 10:30:00+00:00,21046.5,0.25,35.0,0,0,60.606060606060694,420.0,0.0,0.581818181818182,35.0,420.0,0,MaintenanceRequired,2
2022-08-03 10:45:00+00:00,21046.75,0.25,35.0,0,0,60.606060606060694,420.0,0.0,0.581818181818182,35.0,420.0,0,MaintenanceRequired,2
2022-08-03 11:00:00+00:00,21047.0,0.25,35.0,0,0,63.63636363636381,420.44444444444446,0.0,0.5909090909090914,35.0,420.44444444444446,0,MaintenanceRequired,2
2022-08-03 11:15:00+00:00,21047.25,0.25,35.0,0,0,60.606060606060694,420.0,0.0,0.581818181818182,35.0,420.0,0,MaintenanceRequired,2
2022-08-03 11:30:00+00:00,21047.5,0.25,35.0,0,0,57.57575757575759,419.55555555555554,0.0,0.5727272727272728,35.0,419.55555555555554,0,MaintenanceRequired,2
2022-08-03 11:45:00+00:00,21047.75,0.25,35.0,0,0,51.51515151515175,418.6666666666667,0.0,0.5545454545454552,35.0,418.6666666666667,0,MaintenanceRequired,2
2022-08-03 12:00:00+00:00,21048.0,0.25,35.0,0,0,54.545454545454476,419.1111111111111,0.0,0.5636363636363634,35.0,419.1111111111111,0,MaintenanceRequired,2
2022-08-03 12:15:00+00:00,21048.25,0.25,35.0,0,0,48.484848484848634,418.22222222222223,0.0,0.5454545454545459,35.0,418.22222222222223,0,MaintenanceRequired,2
2022-08-03 12:30:00+00:00,21048.5,0.25,35.0,0,0,54.545454545454476,419.1111111111111,0.0,0.5636363636363634,35.0,419.1111111111111,0,MaintenanceRequired,2
2022-08-03 12:45:00+00:00,21048.75,0.25,35.0,0,0,51.51515151515175,418.6666666666667,0.0,0.5545454545454552,35.0,418.6666666666667,0,MaintenanceRequired,2
2022-08-03 13:00:00+00:00,21049.0,0.25,35.0,0,0,54.545454545454476,419.1111111111111,0.0,0.5636363636363634,35.0,419.1111111111111,0,MaintenanceRequired,2
2022-08-03 13:15:00+00:00,21049.25,0.25,35.0,0,0,54.545454545454476,419.1111111111111,0.0,0.5636363636363634,35.0,419.1111111111111,0,MaintenanceRequired,2
2022-08-03 13:30:00+00:00,21049.5,0.25,35.0,0,0,51.51515151515175,418.6666666666667,0.0,0.5545454545454552,35.0,418.6666666666667,0,MaintenanceRequired,2
2022-08-03 13:45:00+00:00,21049.75,0.25,35.0,0,0,57.57575757575759,419.55555555555554,0.0,0.5727272727272728,35.0,419.55555555555554,0,MaintenanceRequired,2
2022-08-03 14:00:00+00:00,21050.0,0.25,35.0,0,0,51.51515151515175,418.6666666666667,0.0,0.5545454545454552,35.0,418.6666666666667,0,MaintenanceRequired,2
2022-08-03 14:15:00+00:00,21050.25,0.25,35.0,0,0,57.57575757575759,419.55555555555554,0.0,0.5727272727272728,35.0,419.55555555555554,0,MaintenanceRequired,2
2022-08-03 14:30:00+00:00,21050.5,0.25,35.0,0,0,51.51515151515175,418.6666666666667,0.0,0.5545454545454552,35.0,418.6666666666667,0,MaintenanceRequired,2
2022-08-03 14:45:00+00:00,21050.75,0.25,35.0,0,0,45.454545454545524,417.77777777777777,0.0,0.5363636363636366,35.0,417.77777777777777,0,MaintenanceRequired,2
2022-08-03 15:00:00+00:00,21051.0,0.25,35.0,0,0,54.545454545454476,419.1111111111111,0.0,0.5636363636363634,35.0,419.1111111111111,0,MaintenanceRequired,2
2022-08-03 15:15:00+00:00,21051.25,0.25,35.0,0,0,54.545454545454476,419.1111111111111,0.0,0.5636363636363634,35.0,419.1111111111111,0,MaintenanceRequired,2
