,Healthy,Degraded,MaintenanceRequired,FailedRecoverable,FailedPermanent
Healthy,0.8975559022360895,0.09481712601837407,0.006413589876928411,0.0001733402669440111,0.0010400416016640667
Degraded,0.03474040487898333,0.8671690401685931,0.09393958745769206,0.0011494986908487132,0.003001468803882751
MaintenanceRequired,0.0009442635986382725,0.036329299505504065,0.9340506423477375,0.024401759312178514,0.004274035235941654
FailedRecoverable,6.637021304838388e-05,0.0014601446870644455,0.06471095772217429,0.8939403995486825,0.03982212782903033
FailedPermanent,0.000807183937039653,0.004843103622237917,0.017253556654222582,0.0602361013015841,0.9168600544849157
