episode,q_learning_return,sarsa_return,r_learning_avg_reward
0,16.2,66.89999999999998,0.9600000000000001
1,105.7,141.1,0.8797297297297298
2,144.2,26.900000000000002,0.8630769230769231
3,24.5,60.69999999999999,0.8490196078431372
4,20.7,167.50000000000003,0.6702702702702702
5,126.49999999999999,62.50000000000001,0.95
6,270.4,4.0,1.0
7,6.0,65.79999999999998,1.0
8,46.39999999999999,34.60000000000001,0.8164383561643836
9,3.0,90.19999999999999,0.7075757575757576
10,68.80000000000001,123.19999999999992,0.927
11,49.599999999999994,66.7,0.628125
12,40.4,122.09999999999997,0.6
13,26.6,70.60000000000001,0.9293893129770993
14,15.7,8.0,1.0
15,70.39999999999999,117.79999999999998,0.264516129032258
16,30.999999999999986,78.79999999999998,0.6856481481481482
17,120.60000000000001,189.70000000000002,0.6520833333333333
18,34.00000000000001,134.49999999999983,0.7594059405940593
19,26.999999999999993,-0.9999999999999998,0.75
20,28.9,230.30000000000032,0.875
21,17.0,10.2,0.8352941176470589
22,50.39999999999995,107.90000000000015,0.9120689655172415
23,103.50000000000004,2.3000000000000007,0.9140845070422534
24,108.70000000000016,242.80000000000015,0.8500000000000001
25,28.099999999999984,133.59999999999997,0.5653846153846155
26,134.3000000000002,115.99999999999996,0.6687116564417178
27,8.100000000000001,117.80000000000001,0.6092105263157895
28,96.1,23.100000000000005,0.8344262295081969
29,53.20000000000003,41.9,0.9
30,71.8,24.400000000000002,0.6808219178082193
31,61.00000000000003,29.700000000000017,0.9186046511627907
32,33.10000000000001,8.599999999999998,0.9851851851851853
33,44.499999999999964,151.99999999999997,0.8788659793814433
34,131.5000000000002,164.89999999999938,0.8766129032258063
35,12.700000000000001,30.400000000000013,0.9500000000000001
36,47.899999999999956,170.3000000000002,0.42
37,20.89999999999999,69.79999999999986,-0.1380952380952381
38,1.8,274.49999999999983,0.688888888888889
39,74.09999999999998,68.8999999999999,0.9095238095238094
40,94.8,34.59999999999999,0.8719298245614034
41,156.30000000000004,15.8,0.958490566037736
42,18.9,375.6999999999991,0.8802919708029197
43,40.1,3.0,0.7862275449101797
44,83.30000000000001,3.2,0.7543478260869564
45,29.7,11.799999999999997,0.915
46,10.400000000000002,28.799999999999986,0.8267857142857142
47,40.499999999999964,18.09999999999999,0.922222222222222
48,20.60000000000001,130.29999999999976,0.4789115646258504
49,23.7,13.0,0.8140186915887851
50,17.7,37.3,0.5830882352941176
51,139.4000000000002,244.1000000000002,0.7861904761904763
52,81.1,27.000000000000004,0.725
