step,risk_multiplier
151,1.8666
152,1.8682999999999998
153,1.87
154,1.8717
155,1.8734000000000002
156,1.8751
157,1.8768
158,1.8784999999999998
159,1.8802
160,1.8819
161,1.8836000000000002
162,1.8853
163,1.887
164,1.8886999999999998
165,1.8904
166,1.8921
167,1.8938000000000001
168,1.8955
169,1.8972000000000002
170,1.8989
171,1.9005999999999998
172,1.9022999999999999
173,1.9040000000000001
174,1.9057
175,1.9073999999999998
176,1.9091
177,1.9108
178,1.9124999999999999
179,1.9141999999999997
180,1.9159
181,1.9176000000000002
182,1.9193
183,1.9209999999999998
184,1.9226999999999999
185,1.9244
186,1.9261
187,1.9277999999999997
188,1.9295
189,1.9312000000000002
190,1.9329
191,1.9345999999999999
192,1.9363
193,1.9380000000000002
194,1.9397
195,1.9413999999999998
196,1.9431
197,1.9447999999999999
198,1.9465
199,1.9481999999999997
200,1.9499
201,1.9515999999999998
202,1.9533
203,1.9549999999999998
204,1.9566999999999999
205,1.9583999999999997
206,1.9601
207,1.9617999999999998
208,1.9635
209,1.9651999999999998
210,1.9669
211,1.9686
212,1.9703
213,1.9719999999999998
214,1.9737
215,1.9753999999999998
216,1.9771
217,1.9788
218,1.9805
219,1.9821999999999997
220,1.9839
221,1.9855999999999998
222,1.9873
223,1.9889999999999999
224,1.9907
225,1.9923999999999997
226,1.9941
227,1.9957999999999998
228,1.9975
229,1.9991999999999999
230,2.0009
231,2.0025999999999997
232,2.0043
233,2.006
234,2.0077
235,2.0094
236,2.0111
237,2.0128
238,2.0145
239,2.0162
240,2.0179
241,2.0196
242,2.0213
243,2.0229999999999997
244,2.0247
245,2.0263999999999998
246,2.0281000000000002
247,2.0298
248,2.0315
249,2.0332
250,2.0349
251,2.0366
252,2.0383
253,2.04
254,2.0417
255,2.0433999999999997
256,2.0451
257,2.0467999999999997
258,2.0485
259,2.0502
260,2.0519000000000003
261,2.0536
262,2.0553
263,2.057
264,2.0587
265,2.0604
266,2.0621
267,2.0638
268,2.0655
269,2.0671999999999997
270,2.0689
271,2.0705999999999998
272,2.0723000000000003
273,2.074
274,2.0757
275,2.0774
276,2.0791
277,2.0808
278,2.0825
279,2.0842
280,2.0859
281,2.0876
282,2.0893
283,2.0909999999999997
284,2.0927000000000002
285,2.0944
286,2.0961000000000003
287,2.0978
288,2.0995
289,2.1012
290,2.1029
291,2.1046
292,2.1062999999999996
293,2.108
294,2.1097
295,2.1113999999999997
296,2.1130999999999998
297,2.1148
298,2.1165000000000003
299,2.1182
300,2.1199
301,2.1216
302,2.1233
303,2.125
304,2.1266999999999996
305,2.1284
306,2.1301
307,2.1318
308,2.1334999999999997
309,2.1351999999999998
310,2.1369000000000002
311,2.1386
312,2.1403
313,2.142
314,2.1437
315,2.1454
316,2.1470999999999996
317,2.1488
318,2.1505
319,2.1522
