step,risk_multiplier
0,1.001
1,1.002
2,1.0230599999999999
3,1.022072
4,1.0212809999999999
5,1.04078748
6,1.038339854
7,1.0362338784
8,1.03443569938
9,1.03291481738
10,1.0316437547861999
11,1.0508377565373601
12,1.047988520390426
13,1.045520753907505
14,1.1651966555172641
15,1.2325901692659964
16,1.2121230137098096
17,1.2141433875722
18,1.1957024565250143
19,1.1791882778115441
20,1.0780334695154628
21,1.1914203526864802
22,1.1935895245281398
23,1.1756026584746024
24,1.1594972703864914
25,1.1450869333312563
26,1.1322036909832036
27,1.1206962277714487
28,1.1104282202922129
29,1.1214568520311095
30,1.111311475219305
31,1.10227060524955
32,1.094224794521553
33,1.0870754398866598
34,1.12129370823353
35,1.1725595685121593
36,1.1985833196527278
37,1.2425067248800605
38,1.2415156158654
39,1.2815016614048704
40,1.2564833416777932
41,1.2544636692820823
42,1.232323097948736
43,1.2329360041892379
44,1.2131270982021523
45,1.1953806133705913
46,1.179492154523321
47,1.1652775813117986
48,1.173131001197348
49,1.180324961292669
50,1.073530107528022
51,1.2073832738719947
52,1.2881305058718933
53,1.142779693548849
54,1.1296302259181576
55,1.1178828548781168
56,1.107398655786902
57,1.0980524679651495
58,1.089731531149878
59,1.0823342570180097
60,1.0959091224010158
61,1.088097672137241
62,1.0811594207022108
63,1.0750078428328143
64,1.069564986330275
65,1.0647606226999153
66,1.0605314819323248
67,1.0568205630912535
68,1.0535765131990729
69,1.0710730676544162
70,1.0666145460866998
71,1.0626969981559828
72,1.059266814350542
73,1.0766756973246296
74,1.0720581355603942
75,1.0884373291757599
76,1.103312102712448
77,1.0963515482500414
78,1.090179983652991
79,1.084719216492851
80,1.0798988029282086
81,1.0756552799115664
82,1.0719314734689704
83,1.068675875515778
84,1.0658420824185344
85,1.063388289185582
86,1.0819368337750341
87,1.0780857865547404
88,1.0747155804407549
89,1.0717785576840195
90,1.0692317836742231
91,1.0670365788895462
92,1.0859380972250623
93,1.0822849461045796
94,1.0790930442359428
95,1.0763166732799878
96,1.0739146460728641
97,1.0718498575743654
98,1.0700888803148378
99,1.0895215999314722
100,1.1280868868216312
101,1.1629679003344437
102,1.1525698422764772
103,1.29030171682676
104,1.372577518044221
105,1.3416951418499226
106,1.3139734657140414
107,1.2890991733868373
108,1.2667900048679335
109,1.2467916783189426
110,1.2288751170310699
111,1.2128339512175825
112,1.198482267396482
113,1.206852580827426
114,1.1932920088982157
115,1.1811750255465738
116,1.170358518776278
117,1.2245535631045756
118,1.2948340133794505
119,1.337004837968305
120,1.3111331575055942
121,1.4801657647557425
122,1.6113365189808049
123,1.729759464713298
124,1.7724384561094837
125,1.8224
126,1.8240999999999998
127,1.8258
128,1.8275
129,1.8292000000000002
130,1.8309
131,1.8326
132,1.8342999999999998
133,1.836
134,1.8377
135,1.8394000000000001
136,1.8411
137,1.8428
138,1.8444999999999998
139,1.8462
140,1.8478999999999999
141,1.8496000000000001
142,1.8513
143,1.853
144,1.8546999999999998
145,1.8564
146,1.8580999999999999
147,1.8598000000000001
148,1.8615
149,1.8632000000000002
150,1.8649
